pwc_id;pwc_doc_id;FY;Entry_date;GroupDate;Document_Type;Entry_number;Document_number;Source Type;Source_number;Transaction number;System-Created Entry;User;Entry_amount;Document Date;bal_account_number;Journal Batch Name;Account;Debit_account;Credit_account;Job No#;Specialism code;Gen_Posting_Type;Business line code;Gen_Bus_Posting_Group;Gen_Prod_Posting_Group;Bal_Account_Type;Allocated;Allocation From GL Entry No;Allocation Document No;Consultant code;Associate Код;Customer code;Reversed
75305;3403;2018;2018-08-21 00:00:00.000;2018-08-21 00:00:00.000;Payment;1171351;G50572;Vendor;00001645;310369;Yes;PSHUGA;335413.15;2018-08-21 00:00:00.000;БАНК001;СИТИ РУБ;60.07;60.07;NULL;;;"      ";;;;Bank Account;No;0;;;;;No
75306;1418;2018;2018-05-18 00:00:00.000;2018-05-18 00:00:00.000;Payment;1101865;G47791;Bank Account;БАНК081;291590;Yes;KOCHETKOVAN;-13920.00;2018-05-18 00:00:00.000;00001402;СИТИ З/П;51.03;NULL;51.03;;;"      ";;;;Vendor;No;0;;;;;No
75320;13928;2018;2018-08-31 00:00:00.000;2018-08-31 00:00:00.000;"      ";1193828;FA9478;"      ";;316404;Yes;KATYA;3634.79;2018-08-31 00:00:00.000;;FA;20.17.1;20.17.1;NULL;;CE440;"      ";P;;;G/L Account;Yes;0;FA9478;205374;;;No
75336;10632;2018;2018-08-31 00:00:00.000;2018-08-31 00:00:00.000;"      ";1194022;FA9488;"      ";;316414;Yes;KATYA;-3478.26;2018-08-31 00:00:00.000;;FA;20.17.1;NULL;20.17.1;;FA;"      ";P;;;G/L Account;Yes;0;FA9488;207163;;;No
75339;16200;2018;2018-08-31 00:00:00.000;2018-08-31 00:00:00.000;"      ";1194060;FA9489;"      ";;316415;Yes;KATYA;38.04;2018-08-31 00:00:00.000;;FA;20.17.1;20.17.1;NULL;;CE210;"      ";P;;;G/L Account;Yes;0;FA9489;210036;;;No
69340;2049;2018;2018-10-31 00:00:00.000;2018-10-31 00:00:00.000;"      ";1225232;G05406;Vendor;00000617;325068;No;OYAKO;48.92;2018-10-31 00:00:00.000;00000617;DEFAULT;20.23;20.23;NULL;;FA;"      ";P;;;Vendor;Yes;0;FA9994;203677;;;No
69355;2049;2018;2018-10-31 00:00:00.000;2018-10-31 00:00:00.000;"      ";1225604;G05406;Vendor;00000617;325192;No;OYAKO;48.92;2018-10-31 00:00:00.000;00000617;DEFAULT;20.23;20.23;NULL;;FA;"      ";P;;;Vendor;Yes;0;FA9788;213001;;;No
69372;739;2018;2018-08-22 00:00:00.000;2018-08-22 00:00:00.000;Payment;1170179;G50194;Bank Account;БАНК001;309982;Yes;MYACHINAI;498432.00;2018-08-22 00:00:00.000;КЮЛ-090;СИТИ РУБ;51.01;51.01;NULL;;;"      ";;;;Customer;No;0;;;;КЮЛ-090;No
74049;16204;2018;2018-05-17 00:00:00.000;2018-05-17 00:00:00.000;Payment;1100476;G47441;Bank Account;БАНК001;291111;Yes;SMIRNOVA;566400.00;2018-05-17 00:00:00.000;00000075;СИТИ РУБ;51.01;51.01;NULL;;;"      ";;;;Customer;No;0;;;;00000075;No
74050;13129;2018;2018-12-31 00:00:00.000;2018-12-31 00:00:00.000;Payment;1299462;G51631;Vendor;00001608;341902;Yes;PSHUGA;6002783.40;2018-12-31 00:00:00.000;60.07;;60.06;60.06;NULL;;;"      ";;;;G/L Account;No;0;;;;;No
